Product_Names,OgPrice Rs.,DisPrice Rs.,Description,Ratings,Image_links,Url,Brand,Storage,Color
"ASUS ROG Phone 7 (12 GB RAM, 256 GB ROM, Phantom Black)","₹ 80,999","₹ 74,999","Android 13, ROG UI with Armoury Crate, Game Genie+ Downloadable Themes + Stock UI Skin option
6.78-inch FHD+ 165Hz HDR10+  Display
Qualcomm Snapdragon 8 Gen 2 Processor @ 3.2Ghz with ROG GameCool 7
Rear Cameras - Sony 50MP + 13MP Wide + 5M Macro
32MP Selfie Camera
IP54 Dust & Water resistant
Stereo loudspeakers with Dirac tuning & Outdoor mode1 Year Manufacturer Warranty",4.6,https://d2xamzlzrdbdbn.cloudfront.net/products/f00f6954-5af2-4d39-9d57-67355975b15823081105_182x182.jpg,https://www.vijaysales.com/asus-rog-phone-7-12-gb-ram-256-gb-rom-phantom-black/23894,ASUS,256,Black
"Samsung Galaxy A14 5G (8 GB RAM, 128 GB ROM, Light Green)","₹ 22,999","₹ 18,999","Android 13, ROG UI with Armoury Crate, Game Genie+ Downloadable Themes + Stock UI Skin option
6.78-inch FHD+ 165Hz HDR10+  Display
Qualcomm Snapdragon 8 Gen 2 Processor @ 3.2Ghz with ROG GameCool 7
Rear Cameras - Sony 50MP + 13MP Wide + 5M Macro
32MP Selfie Camera
IP54 Dust & Water resistant
Stereo loudspeakers with Dirac tuning & Outdoor mode1 Year Manufacturer Warranty",4.6,https://d2xamzlzrdbdbn.cloudfront.net/products/75868132-1423-4711-a232-b200d78188c123201257_182x182.jpg,https://www.vijaysales.com/samsung-galaxy-a14-5g-8-gb-ram-128-gb-rom-light-green/23268,Samsung,128,Green
"Redmi Note 12 Pro 5G (8 GB RAM, 128 GB ROM, Frosted Blue)","₹ 29,999","₹ 23,499","Android 13, One UI
6.6' (16.72cm) FHD+ 90 Hz PLS LCD Display
8GB RAM
128GB ROM
50.0 MP + 2.0 MP + 2.0 MP Triple Camera Setup
13.0 MP Selfie Camera
5000 mAh Battery
Amp up your multi-tasking with RAM Plus1 Year Manufacturer Warranty",4,https://d2xamzlzrdbdbn.cloudfront.net/products/70f123b0-d2d0-4b2f-b1fe-440ea698de8f23101051_182x182.png,https://www.vijaysales.com/redmi-note-12-pro-5g-8-gb-ram-128-gb-rom-frosted-blue/23133,Redmi,128,Blue
"Oppo A78 (8 GB RAM, 128 GB ROM, Glowing Blue)","₹ 19,999","₹ 18,560","Android 13, ROG UI with Armoury Crate, Game Genie+ Downloadable Themes + Stock UI Skin option
6.78-inch FHD+ 165Hz HDR10+  Display
Qualcomm Snapdragon 8 Gen 2 Processor @ 3.2Ghz with ROG GameCool 7
Rear Cameras - Sony 50MP + 13MP Wide + 5M Macro
32MP Selfie Camera
IP54 Dust & Water resistant
Stereo loudspeakers with Dirac tuning & Outdoor mode1 Year Manufacturer Warranty",4.6,https://d2xamzlzrdbdbn.cloudfront.net/products/19f71e46-d322-4108-9c38-3c452f2a584c23161304_182x182.jpg,https://www.vijaysales.com/oppo-a78-8-gb-ram-128-gb-rom-glowing-black/23224,Oppo,128,Blue
"Samsung Galaxy A23 5G (6 GB RAM, 128 GB ROM, Light Blue)","₹ 28,990","₹ 20,999","Android 13, One UI
6.6' (16.72cm) FHD+ 90 Hz PLS LCD Display
8GB RAM
128GB ROM
50.0 MP + 2.0 MP + 2.0 MP Triple Camera Setup
13.0 MP Selfie Camera
5000 mAh Battery
Amp up your multi-tasking with RAM Plus1 Year Manufacturer Warranty",4,https://d2xamzlzrdbdbn.cloudfront.net/products/7f11fdbb-f954-4a05-93f4-5d0627057a2423230644_182x182.jpg,https://www.vijaysales.com/samsung-galaxy-a23-5g-6-gb-ram-128-gb-rom-light-blue/23307,Samsung,128,Blue
"Oppo F21s Pro 5G (8 GB RAM, 128 GB ROM, Starlight Black)","₹ 31,999","₹ 25,999","Android 12, MIUI 13
6.67 inches  (16.94 cm) 120Hz AMOLED Display
MediaTek Dimensity 1080 6mm Processor
8GB LPDDR4X RAM
128GB UFS 2.2 ROM
50 MP + 8 MP + 2 MP Triple Camera Setup
16MP Selfie Camera
5000 mAh
67W Turbo Charge*
12-layer graphite sheet
X-Axis Vibration motor
Dual Stereo Speakers
Dolby Atmos® support
Hi-Res Audio certification1 Year Manufacturer Warranty",4.3,https://d2xamzlzrdbdbn.cloudfront.net/products/aead9cc9-b228-419b-8e1c-b79a31d8710b22200625_182x182.jpg,https://www.vijaysales.com/oppo-f21s-pro-5g-8-gb-ram-128-gb-rom-starlight-black/22231,Oppo,128,Black
"Samsung Galaxy A14 5G (6 GB RAM, 128 GB ROM, Black)","₹ 20,999","₹ 16,999","Android 13, ROG UI with Armoury Crate, Game Genie+ Downloadable Themes + Stock UI Skin option
6.78-inch FHD+ 165Hz HDR10+  Display
Qualcomm Snapdragon 8 Gen 2 Processor @ 3.2Ghz with ROG GameCool 7
Rear Cameras - Sony 50MP + 13MP Wide + 5M Macro
32MP Selfie Camera
IP54 Dust & Water resistant
Stereo loudspeakers with Dirac tuning & Outdoor mode1 Year Manufacturer Warranty",4.6,https://d2xamzlzrdbdbn.cloudfront.net/products/33f5ca60-3769-4b33-a635-97b1c79d640723200806_182x182.jpg,https://www.vijaysales.com/samsung-galaxy-a14-5g-6-gb-ram-128gb-rom-black/23263,Samsung,128,Black
"realme 9i 5G (4 GB RAM, 64 GB ROM, Metallic Golden)","₹ 17,999","₹ 14,949","Android 13, One UI
6.6' (16.72cm) FHD+ 90 Hz PLS LCD Display
8GB RAM
128GB ROM
50.0 MP + 2.0 MP + 2.0 MP Triple Camera Setup
13.0 MP Selfie Camera
5000 mAh Battery
Amp up your multi-tasking with RAM Plus1 Year Manufacturer Warranty",4,https://d2xamzlzrdbdbn.cloudfront.net/products/ef4967eb-9d25-4fa7-8a9c-3902d975804722190617_182x182.jpg,https://www.vijaysales.com/realme-9i-5g-4-gb-ram-64-gb-rom-metallic-golden/21730,realme,64,Golden
"Samsung Galaxy A14 5G (6 GB RAM, 128 GB ROM, Dark Red)","₹ 20,999","₹ 16,999","Android 12, MIUI 13
6.67 inches  (16.94 cm) 120Hz AMOLED Display
MediaTek Dimensity 1080 6mm Processor
8GB LPDDR4X RAM
128GB UFS 2.2 ROM
50 MP + 8 MP + 2 MP Triple Camera Setup
16MP Selfie Camera
5000 mAh
67W Turbo Charge*
12-layer graphite sheet
X-Axis Vibration motor
Dual Stereo Speakers
Dolby Atmos® support
Hi-Res Audio certification1 Year Manufacturer Warranty",4.3,https://d2xamzlzrdbdbn.cloudfront.net/products/f5c98403-0b03-4968-81e5-a186455623c823200714_182x182.jpg,https://www.vijaysales.com/samsung-galaxy-a14-5g-6-gb-ram-128-gb-rom-dark-red/23261,Samsung,128,Red
"Oppo F21s Pro 5G (8 GB RAM, 128 GB ROM, Dawnlight Gold)","₹ 31,999","₹ 25,999","ColorOS 13, Android 13
6.56 inches (16.66cm) LCD (A-Si) HD+ 90Hz Display
Panda glass (Reinforced once)/Caihong glass (Reinforced once)
MediaTek 6833 Processor
8GB LPDDR4X (2133MHz 2 x 16-bit) RAM
128GB UFS2.2 @ 2Lanes HS-Gear3
50 MP + 2 MP Rear Camera's
8MP Selfie Camera
IPX4 Water Resistance
5000mAh Battery
Dual Stereo Speakers	
33W SUPERVOOCTM, VOOC, and PD (9 V/2 A) fast charging protocols are supported1 Year Manufacturer Warranty",4.1,https://d2xamzlzrdbdbn.cloudfront.net/products/36bb2ff7-e325-4a2f-a790-ac79543193cd22200646_182x182.jpg,https://www.vijaysales.com/oppo-f21s-pro-5g-8-gb-ram-128-gb-rom-dawnlight-gold/22232,Oppo,128,Gold
"Redmi Note 12 Pro 5G (6 GB RAM, 128 GB ROM, Onyx Black)","₹ 27,999","₹ 20,999","Android 13, ROG UI with Armoury Crate, Game Genie+ Downloadable Themes + Stock UI Skin option
6.78-inch FHD+ 165Hz HDR10+  Display
Qualcomm Snapdragon 8 Gen 2 Processor @ 3.2Ghz with ROG GameCool 7
Rear Cameras - Sony 50MP + 13MP Wide + 5M Macro
32MP Selfie Camera
IP54 Dust & Water resistant
Stereo loudspeakers with Dirac tuning & Outdoor mode1 Year Manufacturer Warranty",4.6,https://d2xamzlzrdbdbn.cloudfront.net/products/d5b76231-521e-431a-898d-948ff7da1b0723091233_182x182.png,https://www.vijaysales.com/redmi-note-12-5g-6-gb-ram-128-gb-rom-onyx-black/23123,Redmi,128,Black
"Samsung Galaxy A23 5G (6 GB RAM, 128 GB ROM, Orange)","₹ 28,990","₹ 20,999","Android 13, One UI
6.6' (16.72cm) FHD+ 90 Hz PLS LCD Display
8GB RAM
128GB ROM
50.0 MP + 2.0 MP + 2.0 MP Triple Camera Setup
13.0 MP Selfie Camera
5000 mAh Battery
Amp up your multi-tasking with RAM Plus1 Year Manufacturer Warranty",4,https://d2xamzlzrdbdbn.cloudfront.net/products/ec1e5c87-2297-4122-9502-35c8d9db330223230652_182x182.jpg,https://www.vijaysales.com/samsung-galaxy-a23-5g-6-gb-ram-128-gb-rom-orange/23308,Samsung,128,Orange
